age_group,option,count,pct
18-22 岁,A. 非常希望,13,44.8
18-22 岁,B. 比较希望,9,31.0
18-22 岁,C. 看具体记什么,5,17.2
18-22 岁,D. 不太希望,2,6.9
23-26 岁,B. 比较希望,15,57.7
23-26 岁,A. 非常希望,8,30.8
23-26 岁,C. 看具体记什么,2,7.7
23-26 岁,D. 不太希望,1,3.8
27-30 岁,B. 比较希望,9,52.9
27-30 岁,A. 非常希望,7,41.2
27-30 岁,C. 看具体记什么,1,5.9
30 岁以上,B. 比较希望,17,53.1
30 岁以上,A. 非常希望,15,46.9
