theme,count,pct_of_responses,example
不知道吃什么/选店困难,52,50.0,饭点吃什么，看什么动漫
多人约饭/意见冲突,46,44.2,有一次我想去约我的室友去吃饭，距离用餐的地点大约约5公里左右，但是他们都不想去那么远的地方，定找别的餐厅聚餐，那个地方其实我看博主推荐想去好久了，结果因为距离原因，最后没有去成。
路线/距离/时间安排,42,40.4,周末和老婆规划附近游玩，并且有美食挑选
信息过载/多 App 切换,23,22.1,吃的晚饭的时候不知道吃什么现在各个软件之间来回切换寻找，很浪费时间
未填写,17,16.3,
执行不确定/约束检查,9,8.7,有一次中午下班后不想一个人做饭，就想点份外卖。但翻过来翻过去感觉不是口味不合适就是价格太贵，一直纠结了半个多小时后才定下来
其他具体经历,8,7.7,阿狗喜欢讲马，让我很感动。
突发/兜底需求,1,1.0,突发情况去看牙医，找不到合适诊所，不知医院预约挂号人数
