你的身份是？,18-22 岁,23-26 岁,27-30 岁,30 岁以上,total
B. 本科生,28,15,8,11,62
F. 已工作 3 年以上,0,1,3,10,14
C. 研究生,0,3,2,6,11
A. 专科,1,2,2,3,8
E. 已工作 1-3 年,0,5,1,1,7
D.博士生,0,0,1,1,2
