option,count,pct
B. 给 2-3 个方案，让大家选,69,66.3
C. 先指出大家的冲突，再给折中方案,23,22.1
A. 直接给一个最优方案,9,8.7
D. 让大家投票后再推荐,2,1.9
E. 其他：______,1,1.0
