option,count,pct,source_column
口味不同,63,60.6,多人约饭 / 聚会时，最常见的问题是什么？-A. 口味不同
时间不一致,44,42.3,多人约饭 / 聚会时，最常见的问题是什么？-D. 时间不一致
距离远近不同,44,42.3,多人约饭 / 聚会时，最常见的问题是什么？-C. 距离远近不同
预算不同,28,26.9,多人约饭 / 聚会时，最常见的问题是什么？-B. 预算不同
有人忌口 / 过敏 / 不吃某类食物,27,26.0,多人约饭 / 聚会时，最常见的问题是什么？-E. 有人忌口 / 过敏 / 不吃某类食物
有人想尝新，有人想吃熟悉的店,27,26.0,多人约饭 / 聚会时，最常见的问题是什么？-G. 有人想尝新，有人想吃熟悉的店
大家都不想做决定,20,19.2,多人约饭 / 聚会时，最常见的问题是什么？-H. 大家都不想做决定
有人想安静聊天，有人想热闹,13,12.5,多人约饭 / 聚会时，最常见的问题是什么？-F. 有人想安静聊天，有人想热闹
其他：,1,1.0,多人约饭 / 聚会时，最常见的问题是什么？-I. 其他：______
