option,count,pct
"B.每天日常使用,主要用来聊天、查资料、问问题",51,49.0
"A.每天高强度使用,工作/学习深度依赖 AI(比如用 AI 写代码、写文档、做研究)",33,31.7
C.每周使用几次，有需要时才用,19,18.3
D.偶尔使用，一个月几次,1,1.0
