option,most_count,most_pct,least_count,least_pct
是否有人的需求被明显牺牲,29,27.9,15,14.4
是否超预算,29,27.9,32,30.8
是否排队太久,24,23.1,19,18.3
是否营业,14,13.5,8,7.7
是否太远,8,7.7,30,28.8
