option,count,pct
A. 一个人吃什么/点什么外卖,40,38.5
B. 和朋友约饭 / 聚会地点,26,25.0
C. 周末去哪玩 / citywalk / 看展,16,15.4
D. 怎么安排本地路线 / 活动顺序,15,14.4
E. 我基本不纠结,7,6.7
