option,count,pct
B. 看到后会试试，但如果不好用会很快放弃,42,40.4
A. 会主动尝试，即使需要花时间适应新工具,42,40.4
D. 不会主动找，但如果嵌在美团、微信等常用 App 里，会顺手使用,13,12.5
"E. 不会用,我习惯自己做决定",3,2.9
C. 朋友 / 同学推荐后，我才会尝试,3,2.9
"F. 不会用,我不太放心 AI 帮我做生活决策",1,1.0
