scenario,mean_rank,n
一个人吃什么，例如午饭 / 晚饭决策,2.7,104
多人约饭 / 聚会，例如协调多人偏好,2.74,104
本地短途活动 / citywalk 路线规划,3.6,104
周末活动规划,3.63,104
夜间突发应急,3.98,104
日常主动提醒，例如吃饭、出门、预约等,4.35,104
